key,value,api
KEY_A,0x4,keyboard
KEY_B,0x5,keyboard
KEY_C,0x6,keyboard
KEY_D,0x7,keyboard
KEY_E,0x8,keyboard
KEY_F,0x9,keyboard
KEY_G,0xA,keyboard
KEY_H,0xB,keyboard
KEY_I,0xC,keyboard
KEY_J,0xD,keyboard
KEY_K,0xE,keyboard
KEY_L,0xF,keyboard
KEY_M,0x10,keyboard
KEY_N,0x11,keyboard
KEY_O,0x12,keyboard
KEY_P,0x13,keyboard
KEY_Q,0x14,keyboard
KEY_R,0x15,keyboard
KEY_S,0x16,keyboard
KEY_T,0x17,keyboard
KEY_U,0x18,keyboard
KEY_V,0x19,keyboard
KEY_W,0x1A,keyboard
KEY_X,0x1B,keyboard
KEY_Y,0x1C,keyboard
KEY_Z,0x1D,keyboard
KEY_1,0x1E,keyboard
KEY_2,0x1F,keyboard
KEY_3,0x20,keyboard
KEY_4,0x21,keyboard
KEY_5,0x22,keyboard
KEY_6,0x23,keyboard
KEY_7,0x24,keyboard
KEY_8,0x25,keyboard
KEY_9,0x26,keyboard
KEY_0,0x27,keyboard
KEY_ENTER,0x28,keyboard
KEY_RETURN,0x28,keyboard
KEY_ESC,0x29,keyboard
KEY_BACKSPACE,0x2A,keyboard
KEY_TAB,0x2B,keyboard
KEY_SPACE,0x2C,keyboard
KEY_MINUS,0x2D,keyboard
KEY_EQUAL,0x2E,keyboard
KEY_LEFT_BRACE,0x2F,keyboard
KEY_RIGHT_BRACE,0x30,keyboard
KEY_BACKSLASH,0x31,keyboard
KEY_NON_US_NUM,0x32,keyboard
KEY_SEMICOLON,0x33,keyboard
KEY_QUOTE,0x34,keyboard
KEY_TILDE,0x35,keyboard
KEY_COMMA,0x36,keyboard
KEY_PERIOD,0x37,keyboard
KEY_SLASH,0x38,keyboard
KEY_CAPS_LOCK,0x39,keyboard
KEY_F1,0x3A,keyboard
KEY_F2,0x3B,keyboard
KEY_F3,0x3C,keyboard
KEY_F4,0x3D,keyboard
KEY_F5,0x3E,keyboard
KEY_F6,0x3F,keyboard
KEY_F7,0x40,keyboard
KEY_F8,0x41,keyboard
KEY_F9,0x42,keyboard
KEY_F10,0x43,keyboard
KEY_F11,0x44,keyboard
KEY_F12,0x45,keyboard
KEY_PRINT,0x46,keyboard
KEY_PRINTSCREEN,0x46,keyboard
KEY_SCROLL_LOCK,0x47,keyboard
KEY_PAUSE,0x48,keyboard
KEY_INSERT,0x49,keyboard
KEY_HOME,0x4A,keyboard
KEY_PAGE_UP,0x4B,keyboard
KEY_DELETE,0x4C,keyboard
KEY_END,0x4D,keyboard
KEY_PAGE_DOWN,0x4E,keyboard
KEY_RIGHT_ARROW,0x4F,keyboard
KEY_LEFT_ARROW,0x50,keyboard
KEY_DOWN_ARROW,0x51,keyboard
KEY_UP_ARROW,0x52,keyboard
KEY_RIGHT,0x4F,keyboard
KEY_LEFT,0x50,keyboard
KEY_DOWN,0x51,keyboard
KEY_UP,0x52,keyboard
KEY_NUM_LOCK,0x53,keyboard
KEYPAD_DIVIDE,0x54,keyboard
KEYPAD_MULTIPLY,0x55,keyboard
KEYPAD_SUBTRACT,0x56,keyboard
KEYPAD_ADD,0x57,keyboard
KEYPAD_ENTER,0x58,keyboard
KEYPAD_1,0x59,keyboard
KEYPAD_2,0x5A,keyboard
KEYPAD_3,0x5B,keyboard
